term,estimate,std.error,statistic,p.value,conf.low,conf.high,bin_label
bin::early:dose,-0.0277636242614779,0.013997768425708343,-1.9834321741233514,0.04766152772106195,-0.055240420511948454,-2.8682801100734026e-4,early
bin::late:dose,-0.05647996225816618,0.04260850235065155,-1.325556148239097,0.18536610737273954,-0.14011794668690944,0.027158022170577084,late
