county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Stanislaus,2012,1864904,450134,2703,2743,1464,715,10349,,1608,71553,64064,111336,221868,90880,82022,755,12723,70529,41855,160741,117358
Sutter,2007,268268,212405,39021,44729,19241,1872,96,,3682,18761,13756,24544,48347,15107,12352,28917,4272,15512,12050,25679,18313
Sutter,2012,401603,295731,971,972,596,85,308,,177,29085,21000,28626,64896,20388,23730,284,8640,18238,14068,35468,37260
Tehama,2007,125090,71398,9673,11429,4356,17433,1756,,21685,8488,5455,9662,22404,7124,3153,8348,454,9607,7007,9227,14876
Tehama,2012,213326,122390,808,739,410,409,2585,,949,12465,8514,13321,43695,21617,6276,231,1520,12004,8750,12242,16330
Trinity,2007,5687,31421,57,42,65,165,62,,3310,464,205,936,1036,85,35,259,,325,347,839,737
Trinity,2012,10271,41585,70,49,62,46,100,,102,492,304,1181,1566,361,50,28,16,501,674,1227,786
Tulare,2007,2574837,491381,92250,146988,41394,149681,50247,,1183990,86433,114317,147667,330240,198953,86785,57624,12502,108343,46584,219989,161752
Tulare,2012,3419642,693499,3736,3894,1435,528,30802,,1220,117353,142241,167971,366333,316466,124161,652,16195,101641,61914,333437,177935
Tuolumne,2007,21667,59198,147,193,46,1776,323,,17443,1367,420,1416,1182,,,852,,1090,1120,1285,1192
Tuolumne,2012,33076,84594,91,104,71,109,423,,277,1239,859,1382,2334,1217,74,66,457,2122,1321,1615,1479
Ventura,2007,1020310,418674,63863,71434,76143,799,619,,4361,34549,39935,54776,362525,107315,13402,88085,11235,38182,21434,119423,53431
Ventura,2012,1162843,540857,1962,1651,1003,99,360,,456,40635,49354,56965,364348,137750,22177,304,18681,22899,23709,121640,55883
Yolo,2007,312706,318114,34063,29683,25398,3705,1618,,12037,24648,13027,27621,61746,20560,15713,29502,2978,10514,8638,24252,22826
Yolo,2012,417052,412514,583,563,387,101,2231,,282,31336,19481,31986,83137,32093,24369,238,6241,10878,9975,33167,33758
Yuba,2007,106951,129168,10116,10737,3707,1923,465,,14300,6480,5318,7985,16781,3511,6824,7952,1380,6838,4313,10471,10172
Yuba,2012,161744,203452,392,395,280,165,523,,433,8999,8727,12323,27459,7776,11297,138,2584,8683,6589,18573,13831
acramento,2007,265205,190384,12008,16613,7123,11324,1479,,51925,11937,8280,16791,56365,24497,8051,11192,1539,14738,8432,20592,27180
acramento,2012,302141,223477,545,501,414,307,1948,,837,12837,11434,18571,58559,27855,11615,266,2958,11667,9822,26637,21375
anta Clara,2007,208106,194856,15281,6750,18926,3889,506,,4429,8983,9383,14363,68403,13730,5627,8912,2248,5195,5447,20278,14491
anta Clara,2012,210201,209573,505,509,401,144,1181,,413,8966,8654,11871,68224,22315,3761,178,2236,4313,6233,15443,7788
n Francisco,2007,,,,,,,,,,,,,,,,,,,26,,
n Francisco,2012,96,15984,4,2,4,,,,24,3,,,,,,2,,,58,,
nta Barbara,2007,790553,495024,57440,53809,69247,10884,1122,,17666,28078,30030,50489,232123,97997,14403,73411,5838,21337,16229,90637,54017
nta Barbara,2012,999903,626113,1072,848,585,143,1390,,488,36792,35707,61307,311694,100718,13302,325,10678,18879,21627,106743,49452
ontra Costa,2007,62302,98269,2299,5931,,2565,,,6120,3506,2933,4315,12676,5049,,7894,,4563,3518,4195,5112
ontra Costa,2012,80019,132922,251,264,163,112,537,,304,3957,3694,5154,17077,5727,876,131,720,4719,3311,6535,6148
os Angeles,2007,288150,166177,11555,16269,17899,1260,533,,15532,11018,11931,20542,93356,18089,3554,6139,1225,5626,7292,30676,13871
os Angeles,2012,208532,161153,587,433,414,269,582,,1019,10952,9466,8759,52566,10121,1719,253,1650,5334,6827,32484,10348
