county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Merced,2007,1754503.0,672997.0,2121.0,2041.0,1282.0,553.0,11578.0,,1096.0,70097.0,65729.0,118550.0,225931.0,52704.0,75602.0,775.0,10507.0,65556.0,31581.0,121310.0,116891.0
Modoc,2002,52333.0,121704.0,5215.0,3093.0,1532.0,5237.0,521.0,,2567.0,2512.0,3728.0,5654.0,5758.0,355.0,3568.0,6592.0,288.0,4270.0,2205.0,3983.0,5512.0
Modoc,2007,59810.0,133504.0,215.0,128.0,171.0,67.0,1174.0,,164.0,5384.0,3921.0,5052.0,6869.0,533.0,1635.0,154.0,726.0,4548.0,2407.0,4499.0,5975.0
Mono,2002,8227.0,128554.0,298.0,118.0,89.0,247.0,28.0,,840.0,523.0,336.0,977.0,1230.0,,764.0,435.0,,393.0,338.0,651.0,801.0
Mono,2007,7997.0,95206.0,22.0,23.0,20.0,26.0,28.0,,40.0,762.0,756.0,1159.0,1211.0,598.0,80.0,17.0,122.0,526.0,487.0,899.0,1489.0
Monterey,2002,1403012.0,1152845.0,106271.0,124076.0,104103.0,8784.0,558.0,,11143.0,42773.0,57675.0,109638.0,409658.0,160576.0,33098.0,115423.0,19843.0,44888.0,21203.0,146618.0,72980.0
Monterey,2007,1629133.0,1358743.0,724.0,747.0,596.0,94.0,1212.0,,387.0,64257.0,56200.0,111834.0,374149.0,259965.0,34884.0,438.0,20248.0,42034.0,19759.0,176003.0,80059.0
Napa,2002,250995.0,172505.0,9547.0,15655.0,8210.0,208.0,24.0,,1179.0,5191.0,4317.0,17073.0,73998.0,39177.0,10517.0,4722.0,2915.0,28039.0,19437.0,22088.0,36368.0
Napa,2007,344210.0,210140.0,1235.0,1131.0,770.0,81.0,147.0,,268.0,6485.0,5738.0,19022.0,88771.0,64843.0,10927.0,157.0,1997.0,42599.0,28417.0,35890.0,69679.0
Nevada,2002,11892.0,19819.0,224.0,130.0,223.0,976.0,100.0,,2513.0,705.0,403.0,1985.0,2145.0,68.0,102.0,538.0,7.0,1130.0,2245.0,1377.0,1212.0
Nevada,2007,19425.0,28152.0,96.0,95.0,123.0,179.0,474.0,,430.0,1436.0,929.0,2345.0,2028.0,671.0,424.0,62.0,22.0,2891.0,2169.0,1904.0,2970.0
Orange,2002,209328.0,601517.0,14367.0,9197.0,29505.0,1288.0,15.0,,1495.0,5236.0,9213.0,17638.0,91474.0,13039.0,624.0,8165.0,3002.0,3017.0,1814.0,15344.0,8470.0
Orange,2007,247927.0,762853.0,172.0,162.0,158.0,31.0,48.0,,123.0,5297.0,7637.0,13666.0,97723.0,9124.0,1687.0,76.0,3788.0,4238.0,2820.0,37929.0,5599.0
Placer,2002,40444.0,28145.0,2108.0,1261.0,2500.0,2322.0,358.0,,6451.0,,2614.0,4781.0,5854.0,445.0,1082.0,3122.0,325.0,4300.0,3512.0,3858.0,2101.0
Placer,2007,55571.0,37346.0,464.0,425.0,337.0,497.0,685.0,,1090.0,3530.0,2823.0,5352.0,9275.0,909.0,1050.0,85.0,453.0,4934.0,4485.0,4995.0,5211.0
Plumas,2002,8863.0,62860.0,197.0,83.0,86.0,2711.0,,,1374.0,437.0,390.0,677.0,779.0,,,1345.0,,564.0,742.0,1177.0,1162.0
Plumas,2007,11522.0,81142.0,17.0,24.0,27.0,49.0,195.0,,99.0,454.0,425.0,829.0,863.0,290.0,172.0,36.0,23.0,901.0,791.0,618.0,890.0
Riverside S,2002,806632.0,253339.0,36509.0,30614.0,35586.0,14648.0,8984.0,,142309.0,19410.0,42307.0,70115.0,163347.0,64877.0,18147.0,27882.0,6045.0,32828.0,18696.0,101596.0,58726.0
