state_alpha,county_name,county_ansi,state_fips_code,year,commodity_desc,short_desc,value
SD,CLAY,027,46,2012,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",3018000
SD,CODINGTON,029,46,2007,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",918000
SD,CODINGTON,029,46,2007,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",274000
SD,CODINGTON,029,46,2007,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",4366000
SD,CODINGTON,029,46,2007,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",1562000
SD,CODINGTON,029,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",15683000
SD,CODINGTON,029,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",13220000
SD,CODINGTON,029,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",2463000
SD,CODINGTON,029,46,2007,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",3899000
SD,CODINGTON,029,46,2007,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",9280000
SD,CODINGTON,029,46,2007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",81438000
SD,CODINGTON,029,46,2007,FEED,"FEED - EXPENSE, MEASURED IN $",9301000
SD,CODINGTON,029,46,2007,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",9571000
SD,CODINGTON,029,46,2007,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",5348000
SD,CODINGTON,029,46,2007,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",4694000
SD,CODINGTON,029,46,2007,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",2269000
SD,CODINGTON,029,46,2007,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",2425000
SD,CODINGTON,029,46,2007,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",311000
SD,CODINGTON,029,46,2007,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",2997000
SD,CODINGTON,029,46,2007,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",943000
SD,CODINGTON,029,46,2007,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",273000
SD,CODINGTON,029,46,2007,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",7521000
SD,CODINGTON,029,46,2007,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",6416000
SD,CODINGTON,029,46,2007,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",6224000
SD,CODINGTON,029,46,2007,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",2352000
SD,CODINGTON,029,46,2012,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",1698000
SD,CODINGTON,029,46,2012,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",655000
SD,CODINGTON,029,46,2012,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",9163000
SD,CODINGTON,029,46,2012,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",2801000
SD,CODINGTON,029,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",18020000
SD,CODINGTON,029,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",15986000
SD,CODINGTON,029,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",2034000
SD,CODINGTON,029,46,2012,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",7481000
SD,CODINGTON,029,46,2012,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",13331000
SD,CODINGTON,029,46,2012,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",136384000
SD,CODINGTON,029,46,2012,FEED,"FEED - EXPENSE, MEASURED IN $",19592000
SD,CODINGTON,029,46,2012,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",16958000
SD,CODINGTON,029,46,2012,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",8023000
SD,CODINGTON,029,46,2012,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",6378000
SD,CODINGTON,029,46,2012,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",2422000
SD,CODINGTON,029,46,2012,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",3956000
SD,CODINGTON,029,46,2012,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",744000
SD,CODINGTON,029,46,2012,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",5687000
SD,CODINGTON,029,46,2012,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",2095000
SD,CODINGTON,029,46,2012,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",464000
SD,CODINGTON,029,46,2012,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",13215000
SD,CODINGTON,029,46,2012,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",13217000
SD,CODINGTON,029,46,2012,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",9556000
SD,CODINGTON,029,46,2012,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",3196000
